,key,county,year,ext_heat_days,ed_rate_35
0,0,Apache,2011,19,22.2
1,1,Apache,2012,19,25.9
2,2,Apache,2013,18,21.7
3,3,Apache,2014,5,17.5
4,4,Apache,2015,18,23.1
5,5,Apache,2016,16,23.0
6,6,Apache,2017,16,19.4
7,7,Apache,2018,31,21.3
8,8,Apache,2019,23,25.4
9,9,Apache,2020,38,19.3
10,10,Apache,2021,24,24.0
11,11,Cochise,2011,34,48.6
12,12,Cochise,2012,25,45.0
13,13,Cochise,2013,19,42.8
14,14,Cochise,2014,4,39.8
15,15,Cochise,2015,14,37.5
16,16,Cochise,2016,19,37.1
17,17,Cochise,2017,17,38.1
18,18,Cochise,2018,18,39.1
19,19,Cochise,2019,26,36.8
20,20,Cochise,2020,35,30.8
21,21,Cochise,2021,16,31.8
22,22,Coconino,2011,17,19.4
23,23,Coconino,2012,20,18.0
24,24,Coconino,2013,16,17.1
25,25,Coconino,2014,4,15.7
26,26,Coconino,2015,19,18.8
27,27,Coconino,2016,17,19.7
28,28,Coconino,2017,16,17.7
29,29,Coconino,2018,28,18.6
30,30,Coconino,2019,22,16.1
31,31,Coconino,2020,36,15.9
32,32,Coconino,2021,22,16.9
33,33,Gila,2011,30,44.4
34,34,Gila,2012,27,42.8
35,35,Gila,2013,16,39.6
36,36,Gila,2014,3,38.9
37,37,Gila,2015,15,34.3
38,38,Gila,2016,22,37.6
39,39,Gila,2017,14,44.3
40,40,Gila,2018,24,36.3
41,41,Gila,2019,31,43.3
42,42,Gila,2020,48,40.4
43,43,Gila,2021,22,44.5
44,44,Graham,2011,28,41.3
45,45,Graham,2012,22,40.6
46,46,Graham,2013,14,28.5
47,47,Graham,2014,3,37.9
48,48,Graham,2015,13,45.5
49,49,Graham,2016,19,37.0
50,50,Graham,2017,15,54.8
51,51,Graham,2018,22,43.2
52,52,Graham,2019,24,33.2
53,53,Graham,2020,48,43.5
54,54,Graham,2021,16,29.2
55,55,Greenlee,2011,25,43.7
56,56,Greenlee,2012,22,63.6
57,57,Greenlee,2013,17,52.3
58,58,Greenlee,2014,4,24.8
59,59,Greenlee,2015,14,43.8
60,60,Greenlee,2016,18,46.7
61,61,Greenlee,2017,17,54.0
62,62,Greenlee,2018,19,49.0
63,63,Greenlee,2019,24,36.6
64,64,Greenlee,2020,46,47.3
65,65,Greenlee,2021,16,41.2
66,66,La Paz,2011,22,37.9
67,67,La Paz,2012,15,41.2
68,68,La Paz,2013,13,25.8
69,69,La Paz,2014,3,47.9
70,70,La Paz,2015,20,32.7
71,71,La Paz,2016,27,30.5
72,72,La Paz,2017,22,23.4
73,73,La Paz,2018,19,24.2
74,74,La Paz,2019,22,45.6
75,75,La Paz,2020,39,45.8
76,76,La Paz,2021,23,44.2
77,77,Maricopa,2011,28,25.8
78,78,Maricopa,2012,21,25.4
79,79,Maricopa,2013,13,24.4
80,80,Maricopa,2014,2,24.3
81,81,Maricopa,2015,16,25.3
82,82,Maricopa,2016,23,25.9
83,83,Maricopa,2017,19,26.1
84,84,Maricopa,2018,19,23.6
85,85,Maricopa,2019,26,24.0
86,86,Maricopa,2020,45,20.6
87,87,Maricopa,2021,22,21.0
88,88,Mohave,2011,18,32.1
89,89,Mohave,2012,14,33.4
90,90,Mohave,2013,18,31.7
91,91,Mohave,2014,4,30.3
92,92,Mohave,2015,15,34.5
93,93,Mohave,2016,25,34.1
94,94,Mohave,2017,22,33.4
95,95,Mohave,2018,22,39.1
96,96,Mohave,2019,22,38.9
97,97,Mohave,2020,36,38.2
98,98,Mohave,2021,26,34.6
99,99,Navajo,2011,21,28.2
100,100,Navajo,2012,20,34.9
101,101,Navajo,2013,16,32.2
102,102,Navajo,2014,3,30.8
103,103,Navajo,2015,19,32.2
104,104,Navajo,2016,20,33.1
105,105,Navajo,2017,15,34.0
106,106,Navajo,2018,29,28.9
107,107,Navajo,2019,27,29.6
108,108,Navajo,2020,41,31.1
109,109,Navajo,2021,21,29.0
110,110,Pima,2011,32,26.6
111,111,Pima,2012,27,24.8
112,112,Pima,2013,14,23.4
113,113,Pima,2014,4,22.4
114,114,Pima,2015,13,25.0
115,115,Pima,2016,21,25.7
116,116,Pima,2017,17,24.8
117,117,Pima,2018,17,26.0
118,118,Pima,2019,28,25.1
119,119,Pima,2020,50,20.4
120,120,Pima,2021,16,21.7
121,121,Pinal,2011,31,28.4
122,122,Pinal,2012,24,27.5
123,123,Pinal,2013,13,25.8
124,124,Pinal,2014,2,25.9
125,125,Pinal,2015,15,29.2
126,126,Pinal,2016,26,27.4
127,127,Pinal,2017,16,27.3
128,128,Pinal,2018,21,27.7
129,129,Pinal,2019,26,27.8
130,130,Pinal,2020,49,24.3
131,131,Pinal,2021,21,25.8
132,132,Santa Cruz,2011,37,22.8
133,133,Santa Cruz,2012,29,25.6
134,134,Santa Cruz,2013,17,26.9
135,135,Santa Cruz,2014,6,25.3
136,136,Santa Cruz,2015,12,26.3
137,137,Santa Cruz,2016,21,24.9
138,138,Santa Cruz,2017,15,23.9
139,139,Santa Cruz,2018,17,26.7
140,140,Santa Cruz,2019,24,23.7
141,141,Santa Cruz,2020,33,26.0
142,142,Santa Cruz,2021,14,22.8
143,143,Yavapai,2011,24,25.4
144,144,Yavapai,2012,27,29.1
145,145,Yavapai,2013,19,25.2
146,146,Yavapai,2014,3,26.1
147,147,Yavapai,2015,17,27.7
148,148,Yavapai,2016,22,27.6
149,149,Yavapai,2017,16,27.7
150,150,Yavapai,2018,19,27.8
151,151,Yavapai,2019,26,29.3
152,152,Yavapai,2020,35,24.5
153,153,Yavapai,2021,22,24.5
154,154,Yuma,2011,25,30.4
155,155,Yuma,2012,17,28.4
156,156,Yuma,2013,12,27.9
157,157,Yuma,2014,6,32.0
158,158,Yuma,2015,22,35.1
159,159,Yuma,2016,24,31.7
160,160,Yuma,2017,21,34.4
161,161,Yuma,2018,19,34.3
162,162,Yuma,2019,22,28.0
163,163,Yuma,2020,36,29.8
164,164,Yuma,2021,24,28.8
